Colonne1;11;12;13;211;212;213;221;222;223;31;32;33;34;35;41;42;43;5;6;71;72;73;74;751;752;753;81;82;83
5_3;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
5_13;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
5_1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
5_10;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
14_2;;;;;;;;;;;;;;;1;1;1;;;;1;;1;1;1;1;;;
4_4;;;;;;;;;;;;;;;1;1;1;;;;1;;1;;;;;;
14_1;;;;;;;;;;1;1;1;;;;;;;;1;;;1;1;1;1;;;
15_8;;;;;;;;;;1;1;1;1;1;1;1;1;;;1;;;1;1;1;1;;;
15_7;;;;;;;;;;1;1;1;1;1;;;;;;1;;;1;1;1;1;;;
14_3;;;;;1;1;;1;1;;;;;;;;;;;1;1;1;1;;;;;;
1_4;;;;1;1;1;1;1;1;;;;;;;;;;;1;1;1;1;;;;;;
1_1;;;;1;1;1;;;;;;;;;;;;;;1;1;1;1;;;;;;
1_2;;;;1;1;1;;;;;;;;;;;;;;1;1;1;1;;;;;;
14_5;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;
5_11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
5_4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
5_9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
5_7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
5_16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
5_8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
5_15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
5_17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
5_2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
15_1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
5_5;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
5_14;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
5_6;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
4_2;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
4_1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;
14_4;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8_3;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;
8_1;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;
8_2;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;
6;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;
3_3;;;;;;;;;;;;;;;;;;1;;1;1;1;1;;;;;;
3_8;;;;;;;;;;;;;;;;;;1;;1;1;1;1;;;;;;
3_1;;;;;;;;;;;;;;;;;;1;;1;1;1;1;;;;;;
3_4;;;;;;;;;;;;;;;;;;1;;1;1;1;1;;;;;;
