habitat_iucn_code;habitat_name
5_3;Wetlands (inland) - Shrub Dominated Wetlands
5_13;Wetlands (inland) - Permanent Inland Deltas
5_1;Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls)
5_10;Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt)
14_2;Artificial/Terrestrial - Pastureland
4_4;Grassland - Temperate
14_1;Artificial/Terrestrial - Arable Land
15_8;Artificial/Aquatic - Seasonally Flooded Agricultural Land
15_7;Artificial/Aquatic - Irrigated Land (includes irrigation channels)
14_3;Artificial/Terrestrial - Plantations
1_4;Forest - Temperate
1_1;Forest - Boreal
1_2;Forest - Subarctic
14_5;Artificial/Terrestrial - Urban Areas
5_11;Wetlands (inland) - Alpine Wetlands (includes temporary waters from snowmelt)
5_4;Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands
5_9;Wetlands (inland) - Freshwater Springs and Oases
5_7;Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha)
5_16;Wetlands (inland) - Permanent Saline, Brackish or Alkaline Marshes/Pools
5_8;Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha)
5_15;Wetlands (inland) - Seasonal/Intermittent Saline, Brackish or Alkaline Lakes and Flats
5_17;Wetlands (inland) - Seasonal/Intermittent Saline, Brackish or Alkaline Marshes/Pools
5_2;Wetlands (inland) - Seasonal/Intermittent/Irregular Rivers/Streams/Creeks
15_1;Artificial/Aquatic - Water Storage Areas (over 8ha)
5_5;Wetlands (inland) - Permanent Freshwater Lakes (over 8ha)
5_14;Wetlands (inland) - Permanent Saline, Brackish or Alkaline Lakes
5_6;Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha)
4_2;Grassland - Subarctic
4_1;Grassland - Tundra
14_4;Artificial/Terrestrial - Rural Gardens
8_3;Desert - Cold
8_1;Desert - Hot
8_2;Desert - Temperate
6;Rocky areas (eg. inland cliffs, mountain peaks)
3_3;Shrubland - Boreal
3_8;Shrubland - Mediterranean-type Shrubby Vegetation
3_1;Shrubland - Subarctic
3_4;Shrubland - Temperate
